         3132994 function calls (3026944 primitive calls) in 45.850 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      748    0.003    0.000    0.004    0.000 types.py:116(__init__)
   219/44    0.003    0.000    0.829    0.019 base.py:264(refresh)
      316    0.003    0.000    0.017    0.000 instructions.py:183(<listcomp>)
     1034    0.003    0.000    0.003    0.000 {built-in method _functools.reduce}
      191    0.003    0.000    0.004    0.000 ffi.py:229(__del__)
      677    0.003    0.000    0.004    0.000 ir.py:702(__init__)
      850    0.003    0.000    0.010    0.000 templates.py:1233(register)
      177    0.003    0.000    0.242    0.001 templates.py:907(_get_target_registry)
      975    0.003    0.000    0.006    0.000 compiler_machinery.py:24(__enter__)
     1030    0.003    0.000    0.010    0.000 lowering.py:341(_disable_sroa_like_opt)
      980    0.003    0.000    0.004    0.000 templates.py:1243(register_global)
      205    0.003    0.000    0.011    0.000 fromnumeric.py:69(_wrapreduction)
      175    0.003    0.000    0.006    0.000 functools.py:35(update_wrapper)
    48/20    0.003    0.000    0.010    0.000 sre_parse.py:494(_parse)
    34/24    0.003    0.000    1.309    0.055 lowering.py:692(lower_binop)
  208/124    0.003    0.000    0.005    0.000 packer.py:175(rec)
      227    0.003    0.000    0.018    0.000 typeof.py:46(typeof_impl)
     1005    0.003    0.000    0.004    0.000 context.py:501(insert_function)
      392    0.003    0.000    0.020    0.000 values.py:1121(__init__)
       18    0.003    0.000    0.010    0.001 base.py:434(insert_const_string)
      663    0.003    0.000    0.018    0.000 cpu_options.py:112(_get_values)
      283    0.003    0.000    0.014    0.000 typeinfer.py:1092(add_type)
      102    0.003    0.000    0.004    0.000 lowering.py:717(try_static_impl)
     1675    0.003    0.000    0.003    0.000 templates.py:269(__init__)
      664    0.003    0.000    0.026    0.000 functions.py:305(<listcomp>)
